iter	RMSE
0	339567.4677
1	320816.4974
2	302882.4764
3	286743.8381
4	273349.2484
5	260739.1419
6	249535.8942
7	239894.9221
8	230297.1409
9	222292.7148
10	215122.4881
11	208670.7467
12	202319.5159
13	197366.0941
14	192663.3507
15	188473.7373
16	185080.8336
17	181169.1277
18	177958.5662
19	174832.7597
20	172659.2709
21	169822.0917
22	169345.0735
23	167045.9878
24	164563.1428
25	162675.3779
26	160896.376
27	159118.4177
28	157571.1674
29	156792.3499
30	154760.6186
31	153260.9958
32	152322.6609
33	151194.3285
34	149917.6345
35	148505.3451
36	147169.5592
37	145850.9337
38	144776.2537
39	143979.5477
40	142970.0687
41	142000.027
42	141267.1214
43	140076.6924
44	139140.0974
45	138991.7607
46	138270.5572
47	137642.5115
48	137275.0826
49	136361.6462
50	136089.6637
51	135140.4859
52	134490.6845
53	133936.5455
54	133791.6094
55	133048.3334
56	132509.6084
57	131699.9642
58	131068.5077
59	130612.3973
60	130188.685
61	129617.1922
62	129106.8031
63	128645.2751
64	128238.8527
65	127829.1108
66	127404.7002
67	127269.683
68	127003.7019
69	126695.0362
70	126261.4528
71	125744.7826
72	125259.8688
73	125154.3032
74	124581.87
75	124410.0924
76	124217.5987
77	123893.4844
78	123526.9854
79	123133.8148
80	122464.5571
81	122122.1126
82	121805.3578
83	121719.6874
84	121448.9884
85	121053.8551
86	120830.4825
87	120581.9454
88	120085.6387
89	119768.939
90	119468.3316
91	119066.0417
92	118871.5982
93	118606.9158
94	118594.835
95	118306.8579
96	118069.0818
97	117435.2388
98	117051.6814
99	116816.2301
100	116479.1666
101	116122.4982
102	115696.2902
103	115306.843
104	115109.4561
105	114776.6275
106	114553.649
107	114345.4777
108	114123.5415
109	113846.4449
110	113575.0583
111	113288.0099
112	113050.9392
113	112740.1796
114	112498.7091
115	112101.8331
116	111873.8779
117	111499.1476
118	111341.013
119	111110.8395
120	110802.7166
121	110605.3419
122	110295.1308
123	109941.8576
124	109774.9068
125	109447.748
126	109222.9753
127	109047.5961
128	108837.2292
129	108478.6962
130	108275.8084
131	108054.5602
132	107873.4959
133	107745.7885
134	107514.8462
135	107231.2071
136	107024.4889
137	106796.1689
138	106540.1105
139	106251.9363
140	106092.8858
141	105749.4046
142	105365.7269
143	105148.8688
144	104974.4006
145	104761.7876
146	104588.5724
147	104273.3849
148	104009.3498
149	103748.6489
150	103515.4065
151	103336.9347
152	103149.4016
153	102858.1666
154	102665.9848
155	102452.1524
156	102207.746
157	101983.9464
158	101674.1335
159	101516.8123
160	101341.9181
161	101217.1982
162	101047.2687
163	100854.2311
164	100609.3121
165	100240.7829
166	100026.3899
167	99885.46148
168	99725.88003
169	99633.33437
170	99506.87238
171	99350.71253
172	99109.63265
173	98847.45223
174	98600.90594
175	98470.60902
176	98288.64993
177	98134.46402
178	97910.05857
179	97733.48207
180	97479.23084
181	97303.63669
182	97012.26113
183	96835.37092
184	96703.93545
185	96551.06722
186	96372.02008
187	96193.2502
188	96111.98613
189	96006.40671
190	95787.86493
191	95683.79462
192	95526.19024
193	95414.71806
194	95257.74387
195	95142.41534
196	95011.26117
197	94878.18727
198	94729.94835
199	94639.92053
200	94469.4712
201	94317.26867
202	94147.90983
203	93965.01986
204	93880.81052
205	93802.16165
206	93604.84082
207	93521.66247
208	93423.22777
209	93290.48274
210	93139.00641
211	92995.3168
212	92883.10431
213	92766.53339
214	92586.18202
215	92501.58758
216	92294.64961
217	92155.72486
218	92069.20356
219	91970.28795
220	91786.33413
221	91688.62929
222	91653.32739
223	91492.51639
224	91407.59452
225	91303.48665
226	91139.10756
227	90977.36206
228	90902.4033
229	90707.01604
230	90506.84007
231	90449.16111
232	90278.09734
233	90098.5044
234	89981.43695
235	89870.19485
236	89618.02782
237	89534.62646
238	89429.77112
239	89277.6109
240	89140.67421
241	89049.90622
242	88971.4534
243	88804.45386
244	88664.00229
245	88621.77017
246	88482.16145
247	88326.29925
248	88222.1491
249	88029.8385
