iter	Passed	Remaining
0	4	3054
1	8	3099
2	12	2998
3	16	3090
4	20	3099
5	25	3125
6	29	3082
7	33	3066
8	36	2992
9	39	2919
10	42	2835
11	45	2774
12	48	2742
13	51	2711
14	54	2665
15	56	2613
16	59	2559
17	61	2509
18	64	2487
19	67	2471
20	70	2430
21	72	2393
22	74	2355
23	76	2321
24	79	2308
25	82	2289
26	84	2261
27	86	2241
28	89	2219
29	91	2198
30	93	2177
31	96	2170
32	99	2161
33	101	2143
34	104	2126
35	106	2111
36	108	2094
37	111	2087
38	114	2083
39	116	2070
40	118	2056
41	121	2045
42	123	2036
43	126	2027
44	129	2027
45	131	2018
46	134	2005
47	136	1995
48	138	1984
49	141	1974
50	143	1967
51	146	1968
52	149	1960
53	151	1950
54	153	1941
55	155	1931
56	158	1924
57	161	1927
58	164	1922
59	166	1916
60	169	1909
61	171	1904
62	174	1900
63	177	1900
64	180	1899
65	183	1900
66	186	1899
67	188	1893
68	191	1888
69	194	1889
70	197	1884
71	199	1879
72	201	1873
73	204	1867
74	206	1862
75	210	1864
76	212	1860
77	215	1855
78	217	1850
79	220	1847
80	223	1845
81	226	1845
82	229	1842
83	231	1838
84	234	1833
85	236	1828
86	239	1825
87	243	1828
88	245	1823
89	248	1819
90	250	1814
91	252	1809
92	255	1807
93	259	1808
94	261	1804
95	264	1799
96	266	1794
97	268	1789
98	271	1786
99	275	1789
100	278	1791
101	281	1789
102	284	1786
103	287	1785
104	290	1787
105	293	1784
106	296	1782
107	299	1780
108	302	1778
109	305	1778
110	308	1777
111	311	1774
112	314	1772
113	317	1768
114	319	1766
115	323	1766
116	326	1764
117	328	1760
118	331	1758
119	334	1756
120	337	1756
121	340	1752
122	343	1749
123	346	1746
124	348	1743
125	351	1741
126	355	1741
127	357	1738
128	360	1735
129	363	1731
130	365	1727
131	368	1726
132	371	1724
133	374	1723
134	377	1720
135	380	1717
136	383	1715
137	386	1716
138	389	1713
139	392	1709
140	394	1705
141	397	1701
142	400	1698
143	403	1698
144	406	1694
145	408	1690
146	411	1687
147	413	1683
148	416	1680
149	420	1680
150	422	1677
151	425	1673
152	428	1670
153	430	1666
154	433	1665
155	437	1664
156	439	1660
157	442	1658
158	445	1654
159	447	1650
160	451	1649
161	453	1646
162	456	1643
163	458	1639
164	461	1636
165	464	1632
166	467	1631
167	469	1628
168	472	1624
169	475	1621
170	477	1617
171	480	1614
172	483	1613
173	486	1611
174	489	1608
175	492	1605
176	495	1603
177	498	1601
178	501	1600
179	504	1596
180	506	1592
181	509	1589
182	511	1585
183	515	1584
184	518	1582
185	520	1578
186	523	1575
187	525	1571
188	528	1567
189	531	1566
190	534	1563
191	536	1559
192	538	1555
193	541	1551
194	543	1547
195	547	1546
196	550	1544
197	552	1540
198	555	1537
199	557	1534
200	560	1530
201	563	1529
202	566	1525
203	568	1522
204	571	1519
205	574	1515
206	576	1512
207	579	1510
208	583	1510
209	586	1506
210	588	1503
211	591	1499
212	593	1497
213	597	1495
214	600	1493
215	602	1489
216	605	1486
217	607	1482
218	610	1480
219	613	1478
220	616	1474
221	618	1471
222	621	1467
223	623	1464
224	626	1461
225	629	1459
226	632	1456
227	634	1453
228	637	1449
229	639	1445
230	642	1442
231	645	1440
232	648	1438
233	650	1435
234	653	1431
235	655	1428
236	659	1426
237	661	1423
238	664	1420
239	667	1417
240	669	1414
241	672	1411
242	675	1409
243	678	1406
244	680	1402
245	683	1399
246	685	1396
247	688	1392
248	690	1389
249	694	1388
250	697	1386
251	700	1383
252	703	1381
253	705	1377
254	709	1376
255	711	1373
256	714	1370
257	717	1367
258	719	1363
259	722	1361
260	725	1359
261	728	1356
262	730	1353
263	733	1349
264	735	1346
265	738	1343
266	741	1341
267	744	1338
268	746	1335
269	749	1332
270	751	1329
271	755	1327
272	758	1324
273	760	1321
274	763	1318
275	765	1315
276	768	1312
277	771	1310
278	774	1307
279	777	1304
280	779	1301
281	782	1298
282	784	1295
283	788	1293
284	791	1291
285	794	1288
286	797	1285
287	799	1282
288	802	1279
289	805	1278
290	808	1275
291	811	1272
292	813	1269
293	816	1265
294	819	1263
295	822	1261
296	825	1258
297	827	1255
298	830	1252
299	832	1249
300	835	1246
301	838	1244
302	841	1240
303	843	1238
304	846	1235
305	849	1232
306	852	1229
307	854	1226
308	857	1223
309	860	1220
310	862	1217
311	865	1214
312	868	1212
313	871	1209
314	873	1206
315	876	1203
316	878	1200
317	881	1197
318	884	1194
319	887	1192
320	890	1190
321	892	1186
322	895	1183
323	898	1180
324	901	1179
325	904	1176
326	906	1172
327	909	1170
328	912	1167
329	915	1164
330	918	1162
331	920	1159
332	923	1156
333	925	1152
334	927	1149
335	930	1146
336	933	1144
337	936	1141
338	939	1139
339	942	1136
340	945	1133
341	948	1131
342	951	1129
343	954	1126
344	957	1123
345	960	1121
346	963	1118
347	966	1116
348	969	1113
349	971	1110
350	974	1107
351	976	1104
352	980	1102
353	983	1100
354	985	1097
355	988	1094
356	991	1091
357	993	1087
358	996	1085
359	999	1083
360	1002	1080
361	1005	1077
362	1007	1074
363	1010	1071
364	1013	1069
365	1016	1066
366	1019	1063
367	1021	1060
368	1024	1057
369	1026	1054
370	1030	1052
371	1032	1049
372	1035	1046
373	1037	1043
374	1040	1040
375	1042	1037
376	1045	1034
377	1048	1031
378	1051	1028
379	1053	1025
380	1056	1022
381	1058	1019
382	1062	1017
383	1064	1014
384	1067	1012
385	1070	1009
386	1072	1006
387	1075	1003
388	1079	1001
389	1081	998
390	1084	995
391	1086	992
392	1089	989
393	1091	986
394	1095	984
395	1097	981
396	1100	978
397	1102	975
398	1105	972
399	1107	969
400	1111	967
401	1114	964
402	1116	961
403	1119	958
404	1122	955
405	1125	953
406	1128	950
407	1130	947
408	1133	944
409	1135	942
410	1138	938
411	1141	936
412	1143	933
413	1146	930
414	1148	927
415	1151	924
416	1153	921
417	1156	918
418	1159	916
419	1162	913
420	1164	910
421	1167	907
422	1169	904
423	1172	901
424	1175	899
425	1178	896
426	1181	893
427	1183	890
428	1186	887
429	1189	884
430	1191	882
431	1194	879
432	1196	876
433	1199	873
434	1201	870
435	1204	867
436	1207	864
437	1210	862
438	1213	859
439	1216	856
440	1218	853
441	1222	851
442	1225	849
443	1227	846
444	1230	843
445	1232	840
446	1235	837
447	1239	835
448	1242	832
449	1245	830
450	1248	827
451	1250	824
452	1254	822
453	1257	819
454	1260	816
455	1262	814
456	1265	811
457	1268	808
458	1271	806
459	1274	803
460	1277	800
461	1279	797
462	1282	794
463	1285	792
464	1288	789
465	1291	786
466	1293	783
467	1296	781
468	1299	778
469	1302	775
470	1305	773
471	1308	770
472	1311	767
473	1313	764
474	1316	761
475	1319	759
476	1323	757
477	1325	754
478	1328	751
479	1331	748
480	1334	746
481	1337	743
482	1340	740
483	1343	738
484	1345	735
485	1348	732
486	1352	730
487	1354	727
488	1357	724
489	1360	721
490	1362	718
491	1365	715
492	1368	713
493	1371	710
494	1373	707
495	1376	704
496	1378	701
497	1381	699
498	1384	696
499	1387	693
500	1390	690
501	1392	687
502	1395	685
503	1397	682
504	1401	679
505	1403	676
506	1406	674
507	1408	671
508	1411	668
509	1414	665
510	1418	663
511	1421	660
512	1423	657
513	1426	654
514	1428	651
515	1432	649
516	1434	646
517	1437	643
518	1440	640
519	1442	638
520	1445	635
521	1448	632
522	1451	629
523	1453	627
524	1456	624
525	1458	621
526	1461	618
527	1465	616
528	1468	613
529	1470	610
530	1473	607
531	1475	604
532	1479	602
533	1482	599
534	1484	596
535	1487	593
536	1490	591
537	1492	588
538	1496	585
539	1499	583
540	1501	580
541	1504	577
542	1507	574
543	1509	571
544	1513	569
545	1516	566
546	1518	563
547	1522	561
548	1524	558
549	1527	555
550	1531	553
551	1534	550
552	1536	547
553	1539	544
554	1542	541
555	1546	539
556	1548	536
557	1551	533
558	1553	530
559	1556	528
560	1559	525
561	1562	522
562	1565	519
563	1568	517
564	1570	514
565	1573	511
566	1577	509
567	1579	506
568	1582	503
569	1584	500
570	1587	497
571	1589	494
572	1593	492
573	1596	489
574	1598	486
575	1601	483
576	1603	480
577	1606	478
578	1610	475
579	1612	472
580	1615	469
581	1618	467
582	1620	464
583	1623	461
584	1627	458
585	1630	456
586	1632	453
587	1635	450
588	1637	447
589	1640	444
590	1644	442
591	1646	439
592	1649	436
593	1651	433
594	1654	430
595	1657	428
596	1660	425
597	1663	422
598	1665	419
599	1668	417
600	1671	414
601	1674	411
602	1677	408
603	1679	406
604	1682	403
605	1684	400
606	1687	397
607	1691	395
608	1694	392
609	1696	389
610	1699	386
611	1701	383
612	1704	381
613	1707	378
614	1710	375
615	1713	372
616	1715	369
617	1718	366
618	1721	364
619	1724	361
620	1726	358
621	1729	355
622	1732	353
623	1735	350
624	1738	347
625	1741	345
626	1744	342
627	1746	339
628	1748	336
629	1751	333
630	1754	330
631	1757	328
632	1760	325
633	1762	322
634	1765	319
635	1767	316
636	1770	314
637	1773	311
638	1776	308
639	1778	305
640	1781	302
641	1783	300
642	1787	297
643	1790	294
644	1793	291
645	1795	289
646	1798	286
647	1801	283
648	1804	280
649	1806	277
650	1809	275
651	1811	272
652	1814	269
653	1817	266
654	1820	264
655	1822	261
656	1825	258
657	1828	255
658	1830	252
659	1833	250
660	1837	247
661	1840	244
662	1843	241
663	1845	239
664	1848	236
665	1851	233
666	1854	230
667	1856	227
668	1859	225
669	1861	222
670	1864	219
671	1868	216
672	1870	214
673	1873	211
674	1875	208
675	1878	205
676	1881	202
677	1884	200
678	1887	197
679	1889	194
680	1892	191
681	1895	188
682	1898	186
683	1901	183
684	1903	180
685	1906	177
686	1908	175
687	1911	172
688	1914	169
689	1917	166
690	1919	163
691	1922	161
692	1924	158
693	1927	155
694	1930	152
695	1933	150
696	1936	147
697	1938	144
698	1941	141
699	1944	138
700	1947	136
701	1951	133
702	1953	130
703	1956	127
704	1959	125
705	1961	122
706	1965	119
707	1967	116
708	1970	113
709	1973	111
710	1975	108
711	1978	105
712	1981	102
713	1984	100
714	1987	97
715	1989	94
716	1992	91
717	1995	88
718	1998	86
719	2001	83
720	2003	80
721	2006	77
722	2009	75
723	2012	72
724	2014	69
725	2017	66
726	2019	63
727	2022	61
728	2024	58
729	2028	55
730	2031	52
731	2033	50
732	2036	47
733	2038	44
734	2041	41
735	2045	38
736	2048	36
737	2050	33
738	2053	30
739	2055	27
740	2059	25
741	2062	22
742	2064	19
743	2067	16
744	2070	13
745	2072	11
746	2076	8
747	2079	5
748	2081	2
749	2084	0
